procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 20398680 202416 7663344    0    0     0   100 1213 1949  1  1 98  0  0
 0  0      0 20402840 202448 7664020    0    0     0    57 1121 1608  1  1 99  0  0
 0  0      0 20413556 202528 7665580    0    0     0    99 1213 1750  1  1 98  0  0
 0  0      0 20412420 202560 7667132    0    0     0    73 1128 1644  1  1 99  0  0
 1  0      0 20406704 202632 7663848    0    0     0   114 1180 1709  1  1 98  0  0
 0  0      0 20398084 202672 7667000    0    0     0    81 1129 1627  1  1 99  0  0
 1  0      0 20400920 202728 7664160    0    0     0    75 1172 1709  1  1 98  0  0
 0  0      0 20408784 202776 7664212    0    0     0    65 1288 1680  1  1 99  0  0
 0  0      0 20410452 202840 7663708    0    0     0    76 1292 1807  1  1 99  0  0
 0  0      0 20393120 202896 7670712    0    0     0    72 1227 1650  1  1 99  0  0
 1  0      0 20399416 202960 7667552    0    0     0   111 1351 1913  1  1 98  0  0
 0  0      0 20405132 203008 7663996    0    0     0    86 1277 1691  1  1 99  0  0
 0  0      0 20391456 203080 7668808    0    0     0   110 1269 1756  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20351380 203120 7673376    0    0     0   103 1162 1811  1  1 99  0  0
 0  0      0 20385340 203216 7665840    0    0     0   127 1242 1871  1  1 98  0  0
 0  0      0 20401444 203256 7664312    0    0     0    65 1089 1562  1  0 99  0  0
 2  0      0 20389536 203296 7664340    0    0     0    83 1213 1694  1  1 98  0  0
 0  0      0 20400484 203368 7664084    0    0     0    80 1125 1561  1  1 99  0  0
 0  0      0 20395176 203400 7664356    0    0     0    51 1197 1658  1  1 98  0  0
 0  0      0 20376596 203464 7664268    0    0     0    96 1123 1611  1  1 99  0  0
 0  0      0 20393116 203528 7664424    0    0     0    95 1347 1771  1  1 99  0  0
 0  0      0 20406212 203576 7663692    0    0     0    66 1187 1698  1  1 98  0  0
 0  0      0 20393452 203656 7662152    0    0     0    92 1158 1611  1  1 98  0  0
 0  0      0 20399188 203736 7662164    0    0     0    95 1123 1622  1  1 99  0  0
 0  0      0 20387408 203776 7662184    0    0     0    70 1185 1626  1  1 99  0  0
 0  0      0 20171144 204784 7892796    0    0 14014  7945 2160 2189  2  1 97  0  0
